,Threshold,Accuracy,Percent_of_Samples,Dataset,Model
0,0.52,0.5123546511627907,0.6040386303775241,15,RF
1,0.54,0.511326860841424,0.2712906057945566,15,RF
2,0.55,0.5308219178082192,0.12818261633011413,15,RF
3,0.56,0.5315315315315315,0.048726953467954345,15,RF
4,0.52,0.5137686860739575,0.5730387736699729,30,RF
5,0.54,0.5386029411764706,0.24526600541027954,30,RF
6,0.55,0.5454545454545454,0.1339044183949504,30,RF
7,0.56,0.6046511627906976,0.058160504959422904,30,RF
8,0.52,0.5124555160142349,0.5406445406445406,60,RF
9,0.54,0.5219512195121951,0.1972101972101972,60,RF
10,0.55,0.5842105263157895,0.0913900913900914,60,RF
11,0.56,0.6666666666666666,0.03318903318903319,60,RF
12,0.52,0.5220306513409961,0.5440333507034913,90,RF
13,0.54,0.5606936416184971,0.18030224075039084,90,RF
14,0.55,0.5314685314685315,0.07451797811360084,90,RF
15,0.56,0.5576923076923077,0.02709744658676394,90,RF
