,Threshold,Accuracy,Percent_of_Samples,Dataset,Model
0,0.52,0.49648814749780507,1.0,15,SVM
1,0.54,0.49648814749780507,1.0,15,SVM
2,0.55,0.49648814749780507,1.0,15,SVM
3,0.56,0.49648814749780507,1.0,15,SVM
4,0.52,0.4981965734896303,1.0,30,SVM
5,0.54,0.4981965734896303,1.0,30,SVM
6,0.55,0.4981965734896303,1.0,30,SVM
7,0.56,0.4981965734896303,1.0,30,SVM
8,0.52,0.5007215007215007,1.0,60,SVM
9,0.54,0.5007215007215007,1.0,60,SVM
10,0.55,0.5007215007215007,1.0,60,SVM
11,0.56,0.5007215007215007,1.0,60,SVM
12,0.52,0.504950495049505,1.0,90,SVM
13,0.54,0.504950495049505,1.0,90,SVM
14,0.55,0.504950495049505,1.0,90,SVM
15,0.56,0.504950495049505,1.0,90,SVM
