,count,mean,std,min,25%,50%,75%,max
home_team,48590.0,14.502202099197365,8.655431161743284,0.0,7.0,15.0,22.0,29.0
away_team,48590.0,14.496912945050422,8.65557355752391,0.0,7.0,14.0,22.0,29.0
venue,48590.0,35.89995883926734,21.37031242018365,0.0,16.0,36.0,53.0,72.0
away_errors,48590.0,0.6261782259724223,0.8174693978108301,0.0,0.0,0.0,1.0,7.0
home_errors,48590.0,0.6261782259724223,0.8174693978108301,0.0,0.0,0.0,1.0,7.0
AB_home,48590.0,34.99825066886191,4.3773303553513,14.0,32.0,34.0,37.0,76.0
R_home,48590.0,4.503354599711875,3.1937540442797365,0.0,2.0,4.0,6.0,30.0
H_home,48590.0,8.9375591685532,3.570001753740674,0.0,6.0,9.0,11.0,29.0
RBI_home,48590.0,4.290533031487961,3.0968822855247753,0.0,2.0,4.0,6.0,30.0
BB_home,48590.0,3.1653220827330726,2.0674131660478174,0.0,2.0,3.0,4.0,18.0
SO_home,48590.0,7.509384647046717,2.9519508606718707,0.0,5.0,7.0,9.0,26.0
PA_home,48590.0,39.075756328462646,5.446890032132726,15.0,35.0,38.0,42.0,90.0
BA_home,48590.0,0.2490074500926428,0.0774738112407316,0.0,0.194,0.25,0.303,0.551
OBP_home,48590.0,0.3129061329492249,0.08136592160046321,0.0,0.257,0.316,0.3720000000000001,0.608
SLG_home,48590.0,0.3970747067297832,0.1516597621771628,0.0,0.29,0.389,0.5,1.146
OPS_home,48590.0,0.7099924881662952,0.21874156420414678,0.0,0.5579999999999999,0.703,0.856,1.686
Pit_home,48590.0,148.74548260959045,24.38955315756497,57.0,132.0,146.0,163.0,395.0
Str_home,48590.0,94.05834533854703,13.922056434807187,42.0,85.0,93.0,102.0,223.0
WPA_home,48590.0,-0.026655669890923998,0.3390339456459385,-1.723,-0.278,-0.049,0.237,1.873
aLI_home,48590.0,0.9705441448857837,0.39074172589490325,0.07,0.67,0.94,1.24,2.49
